	数字1		数字2		数字3		平均值		出现概率	
	1		2		3		2.0		2.224694104560623E-4	
	1		2		4		2.3333333333333335		2.224694104560623E-4	
	1		2		5		2.6666666666666665		4.449388209121246E-4	
	1		2		6		3.0		6.674082313681868E-4	
	1		2		7		3.3333333333333335		8.898776418242492E-4	
	1		2		8		3.6666666666666665		0.0011123470522803114	
	1		2		9		4.0		0.001557285873192436	
	1		2		10		4.333333333333333		0.0017797552836484984	
	1		2		11		4.666666666666667		0.002224694104560623	
	1		2		12		5.0		0.0026696329254727474	
	1		2		13		5.333333333333333		0.003114571746384872	
	1		2		14		5.666666666666667		0.003559510567296997	
	1		2		15		6.0		0.004226918798665183	
	1		2		16		6.333333333333333		0.0046718576195773085	
	1		2		17		6.666666666666667		0.005339265850945495	
	1		2		18		7.0		0.006006674082313682	
	1		2		19		7.333333333333333		0.006674082313681869	
	1		2		20		7.666666666666667		0.007341490545050055	
	1		2		21		8.0		0.008231368186874305	
	1		2		22		8.333333333333334		0.008898776418242492	
	1		2		23		8.666666666666666		0.00978865406006674	
	1		2		24		9.0		0.01067853170189099	
	1		2		25		9.333333333333334		0.011568409343715239	
	1		2		26		9.666666666666666		0.012458286985539488	
	1		2		27		10.0		0.0135706340378198	
	1		2		28		10.333333333333334		0.014460511679644048	
	1		2		29		10.666666666666666		0.01557285873192436	
	1		2		30		11.0		0.01668520578420467	
	1		2		31		11.333333333333334		0.017797552836484983	
	1		3		4		2.6666666666666665		4.449388209121246E-4	
	1		3		5		3.0		6.674082313681868E-4	
	1		3		6		3.3333333333333335		8.898776418242492E-4	
	1		3		7		3.6666666666666665		0.0011123470522803114	
	1		3		8		4.0		0.001557285873192436	
	1		3		9		4.333333333333333		0.0017797552836484984	
	1		3		10		4.666666666666667		0.002224694104560623	
	1		3		11		5.0		0.0026696329254727474	
	1		3		12		5.333333333333333		0.003114571746384872	
	1		3		13		5.666666666666667		0.003559510567296997	
	1		3		14		6.0		0.004226918798665183	
	1		3		15		6.333333333333333		0.0046718576195773085	
	1		3		16		6.666666666666667		0.005339265850945495	
	1		3		17		7.0		0.006006674082313682	
	1		3		18		7.333333333333333		0.006674082313681869	
	1		3		19		7.666666666666667		0.007341490545050055	
	1		3		20		8.0		0.008231368186874305	
	1		3		21		8.333333333333334		0.008898776418242492	
	1		3		22		8.666666666666666		0.00978865406006674	
	1		3		23		9.0		0.01067853170189099	
	1		3		24		9.333333333333334		0.011568409343715239	
	1		3		25		9.666666666666666		0.012458286985539488	
	1		3		26		10.0		0.0135706340378198	
	1		3		27		10.333333333333334		0.014460511679644048	
	1		3		28		10.666666666666666		0.01557285873192436	
	1		3		29		11.0		0.01668520578420467	
	1		3		30		11.333333333333334		0.017797552836484983	
	1		3		31		11.666666666666666		0.018687430478309234	
	1		4		5		3.3333333333333335		8.898776418242492E-4	
	1		4		6		3.6666666666666665		0.0011123470522803114	
	1		4		7		4.0		0.001557285873192436	
	1		4		8		4.333333333333333		0.0017797552836484984	
	1		4		9		4.666666666666667		0.002224694104560623	
	1		4		10		5.0		0.0026696329254727474	
	1		4		11		5.333333333333333		0.003114571746384872	
	1		4		12		5.666666666666667		0.003559510567296997	
	1		4		13		6.0		0.004226918798665183	
	1		4		14		6.333333333333333		0.0046718576195773085	
	1		4		15		6.666666666666667		0.005339265850945495	
	1		4		16		7.0		0.006006674082313682	
	1		4		17		7.333333333333333		0.006674082313681869	
	1		4		18		7.666666666666667		0.007341490545050055	
	1		4		19		8.0		0.008231368186874305	
	1		4		20		8.333333333333334		0.008898776418242492	
	1		4		21		8.666666666666666		0.00978865406006674	
	1		4		22		9.0		0.01067853170189099	
	1		4		23		9.333333333333334		0.011568409343715239	
	1		4		24		9.666666666666666		0.012458286985539488	
	1		4		25		10.0		0.0135706340378198	
	1		4		26		10.333333333333334		0.014460511679644048	
	1		4		27		10.666666666666666		0.01557285873192436	
	1		4		28		11.0		0.01668520578420467	
	1		4		29		11.333333333333334		0.017797552836484983	
	1		4		30		11.666666666666666		0.018687430478309234	
	1		4		31		12.0		0.019799777530589546	
